,image,target
7775,./Resources/faces/1 (340).jpg,without_mask
1653,./Resources/Train/WithMask/Augmented_269_3592192.png,mask
11896,./Resources/faces/1 (74).jpg,without_mask
10930,./Resources/faces/1 (6187).jpg,without_mask
10675,./Resources/faces/1 (5963).jpg,without_mask
3388,./Resources/Train/WithMask/Augmented_5_9643332.png,mask
2060,./Resources/Train/WithMask/Augmented_347_3701359.png,mask
8290,./Resources/faces/1 (3857).jpg,without_mask
7118,./Resources/faces/1 (2821).jpg,without_mask
5505,./Resources/faces/1 (1405).jpg,without_mask
4650,./Resources/Train/WithMask/Augmented_839_2709281.png,mask
4690,./Resources/Train/WithMask/Augmented_846_9089586.png,mask
12037,./Resources/faces/1 (85).png,without_mask
3588,./Resources/Train/WithMask/Augmented_637_2150444.png,mask
9290,./Resources/faces/1 (4739).jpg,without_mask
5363,./Resources/faces/1 (1291).jpg,without_mask
2261,./Resources/Train/WithMask/Augmented_384_989507.png,mask
12130,./Resources/faces/1 (925).jpg,without_mask
1985,./Resources/Train/WithMask/Augmented_333_7411793.png,mask
1511,./Resources/Train/WithMask/Augmented_243_7388025.png,mask
10820,./Resources/faces/1 (609).jpg,without_mask
10889,./Resources/faces/1 (615).jpg,without_mask
9630,./Resources/faces/1 (5037).jpg,without_mask
3479,./Resources/Train/WithMask/Augmented_617_5029448.png,mask
5890,./Resources/faces/1 (1737).jpg,without_mask
8065,./Resources/faces/1 (3658).jpg,without_mask
848,./Resources/Train/WithMask/Augmented_119_4816337.png,mask
10338,./Resources/faces/1 (5665).jpg,without_mask
3887,./Resources/Train/WithMask/Augmented_693_5091386.png,mask
10614,./Resources/faces/1 (5908).jpg,without_mask
878,./Resources/Train/WithMask/Augmented_124_9505309.png,mask
9669,./Resources/faces/1 (5072).jpg,without_mask
7648,./Resources/faces/1 (329).jpg,without_mask
6514,./Resources/faces/1 (2289).jpg,without_mask
5849,./Resources/faces/1 (170).jpg,without_mask
927,./Resources/Train/WithMask/Augmented_133_9288461.png,mask
11624,./Resources/faces/1 (68).png,without_mask
5707,./Resources/faces/1 (1576).jpg,without_mask
3647,./Resources/Train/WithMask/Augmented_647_8561542.png,mask
2096,./Resources/Train/WithMask/Augmented_354_1676192.png,mask
3888,./Resources/Train/WithMask/Augmented_693_6192334.png,mask
11273,./Resources/faces/1 (6490).jpg,without_mask
11880,./Resources/faces/1 (728).jpg,without_mask
2166,./Resources/Train/WithMask/Augmented_367_9436466.png,mask
7223,./Resources/faces/1 (2914).jpg,without_mask
9521,./Resources/faces/1 (4943).jpg,without_mask
4370,./Resources/Train/WithMask/Augmented_784_1932528.png,mask
7095,./Resources/faces/1 (2800).jpg,without_mask
2458,./Resources/Train/WithMask/Augmented_420_3505553.png,mask
4725,./Resources/Train/WithMask/Augmented_852_9605970.png,mask
499,./Resources/Train/WithMask/424.png,mask
5678,./Resources/faces/1 (155).jpg,without_mask
311,./Resources/Train/WithMask/1662.png,mask
5365,./Resources/faces/1 (1293).jpg,without_mask
3454,./Resources/Train/WithMask/Augmented_612_4357727.png,mask
2152,./Resources/Train/WithMask/Augmented_364_851989.png,mask
12035,./Resources/faces/1 (849).jpg,without_mask
7295,./Resources/faces/1 (298).jpg,without_mask
7515,./Resources/faces/1 (3171).jpg,without_mask
6567,./Resources/faces/1 (2334).jpg,without_mask
9779,./Resources/faces/1 (517).jpg,without_mask
1742,./Resources/Train/WithMask/Augmented_286_4827914.png,mask
10162,./Resources/faces/1 (5507).jpg,without_mask
6338,./Resources/faces/1 (2131).jpg,without_mask
1607,./Resources/Train/WithMask/Augmented_260_5823549.png,mask
6111,./Resources/faces/1 (1932).jpg,without_mask
4563,./Resources/Train/WithMask/Augmented_821_3997101.png,mask
1011,./Resources/Train/WithMask/Augmented_149_9549338.png,mask
9075,./Resources/faces/1 (4549).jpg,without_mask
3336,./Resources/Train/WithMask/Augmented_591_4334888.png,mask
4613,./Resources/Train/WithMask/Augmented_831_2811718.png,mask
5686,./Resources/faces/1 (1557).jpg,without_mask
10793,./Resources/faces/1 (6065).jpg,without_mask
4103,./Resources/Train/WithMask/Augmented_732_9299363.png,mask
9384,./Resources/faces/1 (4821).jpg,without_mask
2590,./Resources/Train/WithMask/Augmented_448_586641.png,mask
3599,./Resources/Train/WithMask/Augmented_639_5137090.png,mask
1675,./Resources/Train/WithMask/Augmented_273_6067417.png,mask
10495,./Resources/faces/1 (5802).jpg,without_mask
9822,./Resources/faces/1 (5206).jpg,without_mask
4150,./Resources/Train/WithMask/Augmented_741_1095535.png,mask
5668,./Resources/faces/1 (1540).jpg,without_mask
9633,./Resources/faces/1 (504).jpg,without_mask
5043,./Resources/faces/1 (103).png,without_mask
6329,./Resources/faces/1 (2123).jpg,without_mask
2231,./Resources/Train/WithMask/Augmented_37_2087060.png,mask
1907,./Resources/Train/WithMask/Augmented_318_77205.png,mask
12033,./Resources/faces/1 (847).jpg,without_mask
11226,./Resources/faces/1 (6448).jpg,without_mask
1963,./Resources/Train/WithMask/Augmented_32_7175613.png,mask
11884,./Resources/faces/1 (73).png,without_mask
1410,./Resources/Train/WithMask/Augmented_225_2057166.png,mask
609,./Resources/Train/WithMask/673.png,mask
11471,./Resources/faces/1 (6665).jpg,without_mask
8313,./Resources/faces/1 (3878).jpg,without_mask
2807,./Resources/Train/WithMask/Augmented_487_6327104.png,mask
3901,./Resources/Train/WithMask/Augmented_696_1036856.png,mask
4756,./Resources/Train/WithMask/Augmented_859_3346018.png,mask
4862,./Resources/Train/WithMask/Augmented_879_6567971.png,mask
2580,./Resources/Train/WithMask/Augmented_445_7171083.png,mask
4922,./Resources/Train/WithMask/Augmented_88_5511304.png,mask
9973,./Resources/faces/1 (5340).jpg,without_mask
5082,./Resources/faces/1 (1062).jpg,without_mask
1430,./Resources/Train/WithMask/Augmented_228_7781671.png,mask
11816,./Resources/faces/1 (6970).jpg,without_mask
7556,./Resources/faces/1 (3206).jpg,without_mask
1676,./Resources/Train/WithMask/Augmented_273_9986479.png,mask
9783,./Resources/faces/1 (5173).jpg,without_mask
1231,./Resources/Train/WithMask/Augmented_190_8653163.png,mask
8937,./Resources/faces/1 (4426).jpg,without_mask
1354,./Resources/Train/WithMask/Augmented_214_3957127.png,mask
9706,./Resources/faces/1 (5103).jpg,without_mask
11491,./Resources/faces/1 (6683).jpg,without_mask
7627,./Resources/faces/1 (3270).jpg,without_mask
3282,./Resources/Train/WithMask/Augmented_580_9367622.png,mask
7343,./Resources/faces/1 (3018).jpg,without_mask
2612,./Resources/Train/WithMask/Augmented_451_7976486.png,mask
6918,./Resources/faces/1 (2645).jpg,without_mask
11863,./Resources/faces/1 (714).jpg,without_mask
8312,./Resources/faces/1 (3877).jpg,without_mask
3602,./Resources/Train/WithMask/Augmented_639_8347007.png,mask
6368,./Resources/faces/1 (2159).jpg,without_mask
2190,./Resources/Train/WithMask/Augmented_372_3275615.png,mask
836,./Resources/Train/WithMask/Augmented_116_7854546.png,mask
731,./Resources/Train/WithMask/953.png,mask
506,./Resources/Train/WithMask/444.png,mask
7127,./Resources/faces/1 (283).jpg,without_mask
6571,./Resources/faces/1 (2338).jpg,without_mask
6557,./Resources/faces/1 (2325).jpg,without_mask
2160,./Resources/Train/WithMask/Augmented_366_6637768.png,mask
1217,./Resources/Train/WithMask/Augmented_188_8543234.png,mask
5519,./Resources/faces/1 (1417).jpg,without_mask
5727,./Resources/faces/1 (1594).jpg,without_mask
7307,./Resources/faces/1 (2990).JPG,without_mask
7005,./Resources/faces/1 (2721).jpg,without_mask
2496,./Resources/Train/WithMask/Augmented_428_8494837.png,mask
487,./Resources/Train/WithMask/398.png,mask
7585,./Resources/faces/1 (3232).jpg,without_mask
7889,./Resources/faces/1 (3500).jpg,without_mask
8421,./Resources/faces/1 (3973).jpg,without_mask
9437,./Resources/faces/1 (487).jpg,without_mask
6463,./Resources/faces/1 (2242).jpg,without_mask
35,./Resources/Train/WithMask/1058.png,mask
1633,./Resources/Train/WithMask/Augmented_265_4241068.png,mask
2530,./Resources/Train/WithMask/Augmented_434_4870732.png,mask
11,./Resources/Train/WithMask/1020.png,mask
2157,./Resources/Train/WithMask/Augmented_365_9322993.png,mask
11109,./Resources/faces/1 (6344).jpg,without_mask
10548,./Resources/faces/1 (5850).jpg,without_mask
9270,./Resources/faces/1 (4720).jpg,without_mask
3777,./Resources/Train/WithMask/Augmented_671_5811324.png,mask
8243,./Resources/faces/1 (3814).jpg,without_mask
7744,./Resources/faces/1 (3374).jpg,without_mask
11909,./Resources/faces/1 (75).jpg,without_mask
3997,./Resources/Train/WithMask/Augmented_712_583755.png,mask
331,./Resources/Train/WithMask/1704.png,mask
11659,./Resources/faces/1 (6830).jpg,without_mask
9465,./Resources/faces/1 (4895).jpg,without_mask
5895,./Resources/faces/1 (1741).jpg,without_mask
9124,./Resources/faces/1 (4593).jpg,without_mask
4205,./Resources/Train/WithMask/Augmented_752_4888549.png,mask
7800,./Resources/faces/1 (3422).jpg,without_mask
7424,./Resources/faces/1 (3091).jpg,without_mask
10451,./Resources/faces/1 (5765).jpg,without_mask
7486,./Resources/faces/1 (3145).jpg,without_mask
2830,./Resources/Train/WithMask/Augmented_491_1132819.png,mask
6971,./Resources/faces/1 (2693).jpg,without_mask
3436,./Resources/Train/WithMask/Augmented_609_3772750.png,mask
4080,./Resources/Train/WithMask/Augmented_729_5513741.png,mask
4328,./Resources/Train/WithMask/Augmented_776_1173856.png,mask
4895,./Resources/Train/WithMask/Augmented_885_2870400.png,mask
11165,./Resources/faces/1 (6395).jpg,without_mask
2028,./Resources/Train/WithMask/Augmented_341_5075349.png,mask
1321,./Resources/Train/WithMask/Augmented_208_5548554.png,mask
8439,./Resources/faces/1 (399).jpg,without_mask
8176,./Resources/faces/1 (3756).jpg,without_mask
6385,./Resources/faces/1 (2174).jpg,without_mask
11397,./Resources/faces/1 (66).jpg,without_mask
5959,./Resources/faces/1 (18).jpeg,without_mask
12147,./Resources/faces/1 (94).jpg,without_mask
8436,./Resources/faces/1 (3987).jpg,without_mask
3983,./Resources/Train/WithMask/Augmented_70_992524.png,mask
11769,./Resources/faces/1 (6928).jpg,without_mask
12102,./Resources/faces/1 (901).jpg,without_mask
5635,./Resources/faces/1 (1510).jpg,without_mask
11478,./Resources/faces/1 (6671).jpg,without_mask
4792,./Resources/Train/WithMask/Augmented_865_7340499.png,mask
9798,./Resources/faces/1 (5187).jpg,without_mask
1667,./Resources/Train/WithMask/Augmented_271_8247865.png,mask
5925,./Resources/faces/1 (1769).jpg,without_mask
8880,./Resources/faces/1 (4377).jpg,without_mask
8066,./Resources/faces/1 (3659).jpg,without_mask
9383,./Resources/faces/1 (4820).jpg,without_mask
1092,./Resources/Train/WithMask/Augmented_164_4041144.png,mask
7638,./Resources/faces/1 (3280).jpg,without_mask
7085,./Resources/faces/1 (2794).jpg,without_mask
11375,./Resources/faces/1 (6580).jpg,without_mask
9164,./Resources/faces/1 (4627).jpg,without_mask
6255,./Resources/faces/1 (2058).jpg,without_mask
2348,./Resources/Train/WithMask/Augmented_400_9317008.png,mask
7226,./Resources/faces/1 (2917).jpg,without_mask
11576,./Resources/faces/1 (6758).jpg,without_mask
8706,./Resources/faces/1 (4221).jpg,without_mask
7024,./Resources/faces/1 (2739).jpg,without_mask
3234,./Resources/Train/WithMask/Augmented_571_2415118.png,mask
7755,./Resources/faces/1 (3384).jpg,without_mask
69,./Resources/Train/WithMask/1114.png,mask
6468,./Resources/faces/1 (2247).jpg,without_mask
2661,./Resources/Train/WithMask/Augmented_460_9639320.png,mask
2051,./Resources/Train/WithMask/Augmented_345_6752062.png,mask
315,./Resources/Train/WithMask/1671.png,mask
4232,./Resources/Train/WithMask/Augmented_757_7911942.png,mask
6953,./Resources/faces/1 (2677).jpg,without_mask
7142,./Resources/faces/1 (2843).jpg,without_mask
7941,./Resources/faces/1 (3548).jpg,without_mask
2826,./Resources/Train/WithMask/Augmented_490_5344362.png,mask
4758,./Resources/Train/WithMask/Augmented_859_7862424.png,mask
6618,./Resources/faces/1 (2380).jpg,without_mask
9621,./Resources/faces/1 (5029).jpg,without_mask
8900,./Resources/faces/1 (4395).jpg,without_mask
11935,./Resources/faces/1 (77).jpg,without_mask
9622,./Resources/faces/1 (503).jpg,without_mask
8853,./Resources/faces/1 (4352).jpg,without_mask
670,./Resources/Train/WithMask/818.png,mask
5503,./Resources/faces/1 (1403).jpg,without_mask
1979,./Resources/Train/WithMask/Augmented_332_9214890.png,mask
6758,./Resources/faces/1 (2502).jpg,without_mask
3478,./Resources/Train/WithMask/Augmented_617_3673901.png,mask
3722,./Resources/Train/WithMask/Augmented_661_5267327.png,mask
6705,./Resources/faces/1 (2457).jpg,without_mask
9680,./Resources/faces/1 (5082).jpg,without_mask
2992,./Resources/Train/WithMask/Augmented_521_2055792.png,mask
7758,./Resources/faces/1 (3387).jpg,without_mask
5383,./Resources/faces/1 (1306).jpg,without_mask
3627,./Resources/Train/WithMask/Augmented_643_7353708.png,mask
7660,./Resources/faces/1 (33).jpg,without_mask
7483,./Resources/faces/1 (3142).jpg,without_mask
2052,./Resources/Train/WithMask/Augmented_345_7037626.png,mask
3190,./Resources/Train/WithMask/Augmented_561_9880586.png,mask
5536,./Resources/faces/1 (1430).jpg,without_mask
1518,./Resources/Train/WithMask/Augmented_245_2041852.png,mask
6823,./Resources/faces/1 (2561).jpg,without_mask
2007,./Resources/Train/WithMask/Augmented_338_5961681.png,mask
3913,./Resources/Train/WithMask/Augmented_698_5890362.png,mask
9327,./Resources/faces/1 (4772).jpg,without_mask
8865,./Resources/faces/1 (4363).jpg,without_mask
9107,./Resources/faces/1 (4578).jpg,without_mask
12084,./Resources/faces/1 (89).jpg,without_mask
6025,./Resources/faces/1 (1857).jpg,without_mask
8658,./Resources/faces/1 (4180).jpg,without_mask
33,./Resources/Train/WithMask/1055.png,mask
8850,./Resources/faces/1 (435).jpg,without_mask
7070,./Resources/faces/1 (2780).jpg,without_mask
10340,./Resources/faces/1 (5667).jpg,without_mask
3689,./Resources/Train/WithMask/Augmented_655_5788832.png,mask
6507,./Resources/faces/1 (2282).jpg,without_mask
2132,./Resources/Train/WithMask/Augmented_361_1428702.png,mask
10120,./Resources/faces/1 (5471).jpg,without_mask
5173,./Resources/faces/1 (1136).jpg,without_mask
11812,./Resources/faces/1 (6967).jpg,without_mask
10760,./Resources/faces/1 (6035).jpg,without_mask
4112,./Resources/Train/WithMask/Augmented_734_7042086.png,mask
10909,./Resources/faces/1 (6168).jpg,without_mask
5238,./Resources/faces/1 (119).png,without_mask
2053,./Resources/Train/WithMask/Augmented_345_9129175.png,mask
5646,./Resources/faces/1 (1520).jpg,without_mask
11046,./Resources/faces/1 (629).jpg,without_mask
10496,./Resources/faces/1 (5803).jpg,without_mask
7359,./Resources/faces/1 (3032).jpg,without_mask
3404,./Resources/Train/WithMask/Augmented_602_9262926.png,mask
8404,./Resources/faces/1 (3958).jpg,without_mask
2481,./Resources/Train/WithMask/Augmented_425_1466897.png,mask
10646,./Resources/faces/1 (5937).jpg,without_mask
10060,./Resources/faces/1 (5417).jpg,without_mask
3589,./Resources/Train/WithMask/Augmented_637_231163.png,mask
1589,./Resources/Train/WithMask/Augmented_258_768052.png,mask
7045,./Resources/faces/1 (2758).jpg,without_mask
639,./Resources/Train/WithMask/732.png,mask
7887,./Resources/faces/1 (35).png,without_mask
2465,./Resources/Train/WithMask/Augmented_421_7677921.png,mask
6787,./Resources/faces/1 (2529).jpg,without_mask
8134,./Resources/faces/1 (3718).jpg,without_mask
11323,./Resources/faces/1 (6533).jpg,without_mask
7918,./Resources/faces/1 (3527).jpg,without_mask
10525,./Resources/faces/1 (583).jpg,without_mask
1206,./Resources/Train/WithMask/Augmented_186_5766512.png,mask
10704,./Resources/faces/1 (599).jpg,without_mask
11461,./Resources/faces/1 (6656).jpg,without_mask
4588,./Resources/Train/WithMask/Augmented_827_4133151.png,mask
6456,./Resources/faces/1 (2236).jpg,without_mask
7205,./Resources/faces/1 (29).jpg,without_mask
8170,./Resources/faces/1 (3750).jpg,without_mask
9789,./Resources/faces/1 (5179).jpg,without_mask
8139,./Resources/faces/1 (3722).jpg,without_mask
9861,./Resources/faces/1 (5241).jpg,without_mask
3820,./Resources/Train/WithMask/Augmented_680_8478434.png,mask
10358,./Resources/faces/1 (5683).jpg,without_mask
11629,./Resources/faces/1 (6803).jpg,without_mask
9736,./Resources/faces/1 (5130).jpg,without_mask
10490,./Resources/faces/1 (58).jpg,without_mask
11075,./Resources/faces/1 (6313).jpg,without_mask
6087,./Resources/faces/1 (1910).jpg,without_mask
3407,./Resources/Train/WithMask/Augmented_603_4505087.png,mask
10079,./Resources/faces/1 (5434).jpg,without_mask
3355,./Resources/Train/WithMask/Augmented_595_6740741.png,mask
2604,./Resources/Train/WithMask/Augmented_44_7669026.png,mask
1416,./Resources/Train/WithMask/Augmented_226_2846252.png,mask
8747,./Resources/faces/1 (4259).jpg,without_mask
4879,./Resources/Train/WithMask/Augmented_881_8664888.png,mask
1027,./Resources/Train/WithMask/Augmented_152_6235836.png,mask
8225,./Resources/faces/1 (38).jpg,without_mask
7293,./Resources/faces/1 (2978).jpg,without_mask
4172,./Resources/Train/WithMask/Augmented_746_4747436.png,mask
6649,./Resources/faces/1 (2406).jpg,without_mask
2889,./Resources/Train/WithMask/Augmented_501_4580601.png,mask
12058,./Resources/faces/1 (868).jpg,without_mask
10768,./Resources/faces/1 (6042).jpg,without_mask
5132,./Resources/faces/1 (1101).jpg,without_mask
4535,./Resources/Train/WithMask/Augmented_816_3912600.png,mask
121,./Resources/Train/WithMask/1231.png,mask
3944,./Resources/Train/WithMask/Augmented_703_419892.png,mask
8659,./Resources/faces/1 (4181).jpg,without_mask
4954,./Resources/Train/WithMask/Augmented_91_4343656.png,mask
5081,./Resources/faces/1 (1061).jpg,without_mask
8517,./Resources/faces/1 (4055).jpg,without_mask
2651,./Resources/Train/WithMask/Augmented_459_9488866.png,mask
8220,./Resources/faces/1 (3796).jpg,without_mask
4577,./Resources/Train/WithMask/Augmented_824_7189516.png,mask
3207,./Resources/Train/WithMask/Augmented_565_2141020.png,mask
6018,./Resources/faces/1 (1850).jpg,without_mask
3707,./Resources/Train/WithMask/Augmented_658_6077493.png,mask
1749,./Resources/Train/WithMask/Augmented_287_7198680.png,mask
4648,./Resources/Train/WithMask/Augmented_838_7008120.png,mask
3872,./Resources/Train/WithMask/Augmented_690_1742059.png,mask
6516,./Resources/faces/1 (2290).jpg,without_mask
12021,./Resources/faces/1 (837).jpg,without_mask
10593,./Resources/faces/1 (5891).jpg,without_mask
5700,./Resources/faces/1 (157).jpg,without_mask
56,./Resources/Train/WithMask/1085.png,mask
10522,./Resources/faces/1 (5827).jpg,without_mask
603,./Resources/Train/WithMask/664.png,mask
6076,./Resources/faces/1 (1900).jpg,without_mask
7271,./Resources/faces/1 (2958).jpg,without_mask
4249,./Resources/Train/WithMask/Augmented_760_8791506.png,mask
2839,./Resources/Train/WithMask/Augmented_492_8642732.png,mask
1129,./Resources/Train/WithMask/Augmented_171_9050018.png,mask
2404,./Resources/Train/WithMask/Augmented_410_9274993.png,mask
2577,./Resources/Train/WithMask/Augmented_444_8673026.png,mask
8479,./Resources/faces/1 (4020).jpg,without_mask
6174,./Resources/faces/1 (199).jpg,without_mask
3755,./Resources/Train/WithMask/Augmented_668_7716957.png,mask
11621,./Resources/faces/1 (6799).jpg,without_mask
12075,./Resources/faces/1 (881).jpg,without_mask
4356,./Resources/Train/WithMask/Augmented_781_3082561.png,mask
1332,./Resources/Train/WithMask/Augmented_20_3893485.png,mask
11468,./Resources/faces/1 (6662).jpg,without_mask
12144,./Resources/faces/1 (937).jpg,without_mask
9168,./Resources/faces/1 (4630).jpg,without_mask
6375,./Resources/faces/1 (2165).jpg,without_mask
5770,./Resources/faces/1 (1630).jpg,without_mask
6402,./Resources/faces/1 (219).jpg,without_mask
842,./Resources/Train/WithMask/Augmented_118_3772358.png,mask
11101,./Resources/faces/1 (6337).jpg,without_mask
6568,./Resources/faces/1 (2335).jpg,without_mask
7600,./Resources/faces/1 (3246).jpg,without_mask
9222,./Resources/faces/1 (468).jpg,without_mask
11445,./Resources/faces/1 (6641).jpg,without_mask
8512,./Resources/faces/1 (4050).jpg,without_mask
8047,./Resources/faces/1 (3641).jpg,without_mask
6458,./Resources/faces/1 (2238).jpg,without_mask
11106,./Resources/faces/1 (6341).jpg,without_mask
10229,./Resources/faces/1 (5568).jpg,without_mask
2772,./Resources/Train/WithMask/Augmented_481_3905899.png,mask
229,./Resources/Train/WithMask/1464.png,mask
9674,./Resources/faces/1 (5077).jpg,without_mask
5039,./Resources/faces/1 (1027).jpg,without_mask
6474,./Resources/faces/1 (2252).jpg,without_mask
4800,./Resources/Train/WithMask/Augmented_867_7982506.png,mask
5756,./Resources/faces/1 (1618).jpg,without_mask
1836,./Resources/Train/WithMask/Augmented_303_880630.png,mask
2495,./Resources/Train/WithMask/Augmented_428_7182948.png,mask
12205,./Resources/faces/1 (988).jpg,without_mask
7264,./Resources/faces/1 (2951).jpg,without_mask
2402,./Resources/Train/WithMask/Augmented_410_6168289.png,mask
8283,./Resources/faces/1 (3850).jpg,without_mask
1612,./Resources/Train/WithMask/Augmented_261_454836.png,mask
966,./Resources/Train/WithMask/Augmented_140_3935676.png,mask
9840,./Resources/faces/1 (5222).jpg,without_mask
6977,./Resources/faces/1 (2699).jpg,without_mask
19,./Resources/Train/WithMask/1034.png,mask
6049,./Resources/faces/1 (1879).jpg,without_mask
817,./Resources/Train/WithMask/Augmented_112_7933606.png,mask
4810,./Resources/Train/WithMask/Augmented_869_3067607.png,mask
7977,./Resources/faces/1 (3580).jpg,without_mask
3192,./Resources/Train/WithMask/Augmented_562_8480143.png,mask
5364,./Resources/faces/1 (1292).jpg,without_mask
2897,./Resources/Train/WithMask/Augmented_502_9339743.png,mask
6890,./Resources/faces/1 (262).jpg,without_mask
5416,./Resources/faces/1 (1333).jpg,without_mask
6479,./Resources/faces/1 (2257).jpg,without_mask
2829,./Resources/Train/WithMask/Augmented_490_7861335.png,mask
1595,./Resources/Train/WithMask/Augmented_259_5215350.png,mask
1559,./Resources/Train/WithMask/Augmented_252_7847564.png,mask
9821,./Resources/faces/1 (5205).jpg,without_mask
2940,./Resources/Train/WithMask/Augmented_511_2668716.png,mask
9915,./Resources/faces/1 (5290).jpg,without_mask
12020,./Resources/faces/1 (836).jpg,without_mask
8660,./Resources/faces/1 (4182).jpg,without_mask
11908,./Resources/faces/1 (75).jpeg,without_mask
3086,./Resources/Train/WithMask/Augmented_53_3294477.png,mask
5185,./Resources/faces/1 (1146).jpg,without_mask
9342,./Resources/faces/1 (4786).jpg,without_mask
2925,./Resources/Train/WithMask/Augmented_509_1620970.png,mask
11595,./Resources/faces/1 (6775).jpg,without_mask
3236,./Resources/Train/WithMask/Augmented_571_6479604.png,mask
7016,./Resources/faces/1 (2731).jpg,without_mask
10806,./Resources/faces/1 (6077).jpg,without_mask
5402,./Resources/faces/1 (1321).jpg,without_mask
5904,./Resources/faces/1 (175).jpg,without_mask
1844,./Resources/Train/WithMask/Augmented_305_8392736.png,mask
11370,./Resources/faces/1 (6576).jpg,without_mask
9536,./Resources/faces/1 (4957).jpg,without_mask
2023,./Resources/Train/WithMask/Augmented_340_7848270.png,mask
1054,./Resources/Train/WithMask/Augmented_157_6690247.png,mask
8307,./Resources/faces/1 (3872).jpg,without_mask
1670,./Resources/Train/WithMask/Augmented_272_3750419.png,mask
5331,./Resources/faces/1 (1265).jpg,without_mask
3535,./Resources/Train/WithMask/Augmented_627_82750.png,mask
3017,./Resources/Train/WithMask/Augmented_526_3494836.png,mask
1923,./Resources/Train/WithMask/Augmented_321_1751570.png,mask
9870,./Resources/faces/1 (525).jpg,without_mask
5799,./Resources/faces/1 (1657).jpg,without_mask
916,./Resources/Train/WithMask/Augmented_131_8577086.png,mask
4459,./Resources/Train/WithMask/Augmented_800_3452822.png,mask
6744,./Resources/faces/1 (2492).jpg,without_mask
9105,./Resources/faces/1 (4576).jpg,without_mask
8464,./Resources/faces/1 (4007).jpg,without_mask
1268,./Resources/Train/WithMask/Augmented_199_1826894.png,mask
1178,./Resources/Train/WithMask/Augmented_181_7026520.png,mask
8135,./Resources/faces/1 (3719).jpg,without_mask
8252,./Resources/faces/1 (3822).jpg,without_mask
795,./Resources/Train/WithMask/Augmented_109_1772833.png,mask
461,./Resources/Train/WithMask/321.png,mask
5810,./Resources/faces/1 (1667).jpg,without_mask
8044,./Resources/faces/1 (3639).jpg,without_mask
5569,./Resources/faces/1 (1459).jpg,without_mask
357,./Resources/Train/WithMask/1755.png,mask
8723,./Resources/faces/1 (4237).jpg,without_mask
8270,./Resources/faces/1 (3839).jpg,without_mask
11932,./Resources/faces/1 (768).jpg,without_mask
2644,./Resources/Train/WithMask/Augmented_458_6320554.png,mask
2469,./Resources/Train/WithMask/Augmented_422_5057628.png,mask
6372,./Resources/faces/1 (2162).jpg,without_mask
7774,./Resources/faces/1 (34).png,without_mask
1720,./Resources/Train/WithMask/Augmented_281_9466639.png,mask
347,./Resources/Train/WithMask/1729.png,mask
5474,./Resources/faces/1 (1381).jpg,without_mask
1124,./Resources/Train/WithMask/Augmented_170_9107436.png,mask
7119,./Resources/faces/1 (2822).jpg,without_mask
4196,./Resources/Train/WithMask/Augmented_750_1832948.png,mask
9924,./Resources/faces/1 (5299).jpg,without_mask
1298,./Resources/Train/WithMask/Augmented_203_4805074.png,mask
2382,./Resources/Train/WithMask/Augmented_407_8831158.png,mask
6772,./Resources/faces/1 (2515).jpg,without_mask
2149,./Resources/Train/WithMask/Augmented_364_2054925.png,mask
954,./Resources/Train/WithMask/Augmented_139_1890418.png,mask
458,./Resources/Train/WithMask/316.png,mask
9292,./Resources/faces/1 (4740).jpg,without_mask
4974,./Resources/Train/WithMask/Augmented_95_7247392.png,mask
4332,./Resources/Train/WithMask/Augmented_776_8161136.png,mask
185,./Resources/Train/WithMask/1352.png,mask
11344,./Resources/faces/1 (6552).jpg,without_mask
8789,./Resources/faces/1 (4297).jpg,without_mask
11999,./Resources/faces/1 (819).jpg,without_mask
2954,./Resources/Train/WithMask/Augmented_514_4003912.png,mask
9435,./Resources/faces/1 (4868).jpg,without_mask
3122,./Resources/Train/WithMask/Augmented_548_7833793.png,mask
3486,./Resources/Train/WithMask/Augmented_618_8064135.png,mask
11685,./Resources/faces/1 (6854).jpg,without_mask
4027,./Resources/Train/WithMask/Augmented_718_968826.png,mask
2995,./Resources/Train/WithMask/Augmented_521_9116113.png,mask
150,./Resources/Train/WithMask/1298.png,mask
2425,./Resources/Train/WithMask/Augmented_414_8978470.png,mask
7766,./Resources/faces/1 (3394).jpg,without_mask
3771,./Resources/Train/WithMask/Augmented_670_3214956.png,mask
8400,./Resources/faces/1 (3954).jpg,without_mask
135,./Resources/Train/WithMask/1260.png,mask
5557,./Resources/faces/1 (1449).jpg,without_mask
11372,./Resources/faces/1 (6578).jpg,without_mask
10149,./Resources/faces/1 (5498).jpg,without_mask
10807,./Resources/faces/1 (6078).jpg,without_mask
4629,./Resources/Train/WithMask/Augmented_835_1076228.png,mask
9451,./Resources/faces/1 (4882).jpg,without_mask
2680,./Resources/Train/WithMask/Augmented_464_5962108.png,mask
9663,./Resources/faces/1 (5067).jpg,without_mask
9606,./Resources/faces/1 (5015).jpg,without_mask
766,./Resources/Train/WithMask/Augmented_102_8702058.png,mask
8226,./Resources/faces/1 (38).png,without_mask
3295,./Resources/Train/WithMask/Augmented_583_5878581.png,mask
7894,./Resources/faces/1 (3505).jpg,without_mask
4712,./Resources/Train/WithMask/Augmented_850_2228214.png,mask
7156,./Resources/faces/1 (2856).jpg,without_mask
3846,./Resources/Train/WithMask/Augmented_686_1423519.png,mask
